year level,semester,subject id,subject description
First Year,First Semester,BIT111L,Introduction to Computing
First Year,First Semester,BIT112L,Fundamentals of Programming
First Year,First Semester,GEE-LITE,Living in the IT Era
First Year,First Semester,UTS,Understanding the Self
First Year,First Semester,PC,Purposive Communication
First Year,First Semester,PATHFIT1,Movement Competency Training
First Year,First Semester,NSTP1K,National Service Training Program 1
First Year,First Semester,SOCARTS1,The University & 21 st Century
First Year,Second Semester,BIT121L,Discrete Structures
First Year,Second Semester,BIT122L,Intermediate Programming
First Year,Second Semester,BIT123L,Data Structures and Algorithms
First Year,Second Semester,MMW,Mathematics in the Modern World
First Year,Second Semester,RLW,Rizal's Life and Works
First Year,Second Semester,PATHFIT2,Exercise based Fitness Activities
First Year,Second Semester,NSTP2k,National Service Training Program 2
First Year,Second Semester,SOCARTS2,Special Topics
Second Year,First Semester,BIT211L,Database Management (Info Mgt) 1
Second Year,First Semester,BIT212L,Web Development 1
Second Year,First Semester,BIT213L,Object-Oriented Programming
Second Year,First Semester,BIT214L,Networking and Communications 1
Second Year,First Semester,BIT215L,Social Issues and Professional Practice
Second Year,First Semester,PATHFIT3,Outdoor and Simulation Sports
Second Year,Second Semester,BIT221L,Database Management (Info Mgt) 2
Second Year,Second Semester,BIT222L,Web Development 2
Second Year,Second Semester,BIT223L,"Presentation, Negotiation and Consulting"
Second Year,Second Semester,BIT224L,Networking and Communications 2
Second Year,Second Semester,GEC-EM,The Entrepreneurial Mind
Second Year,Second Semester,PATHFIT4,Dance
Second Year,Second Semester,RPH,Reading in Philippine History
Third Year,First Semester,BIT311L,Platform Technologies
Third Year,First Semester,BIT312L,Integrative Programming
Third Year,First Semester,BIT313L,Human Computer Interaction
Third Year,First Semester,BIT314L,Information Systems
Third Year,First Semester,BIT315L,Quantitative Methods
Third Year,First Semester,BIT316L,Fundamentals of IT Project Management
Third Year,First Semester,MATH311L,Statistics
Third Year,Second Semester,BIT321L,System Integration and Architecture
Third Year,Second Semester,BIT322L,Applications Development and Emerging
Third Year,Second Semester,BIT323L,Information Assurance and Security 1
Third Year,Second Semester,BIT324L,Software Engineering
Third Year,Second Semester,BIT325L,Capstone Project 1
Third Year,Second Semester,ETH,Ethics
Fourth Year,First Semester,BIT411L,Information Assurance and Security 2
Fourth Year,First Semester,BIT412L,Capstone Project 2
Fourth Year,First Semester,AA,Arts Appreciation
Fourth Year,First Semester,STS,"Science, Technology, and Society"
Fourth Year,First Semester,TCW,The Contemporary World
Fourth Year,First Semester,GEC GB,Great Books
Fourth Year,Second Semester,BIT421L,Practicum (incl. CPSO)
Fourth Year,Second Semester,BIT-SPE1,Specialization 1
Fourth Year,Second Semester,BIT-SPE2,Specialization 2
Fourth Year,Second Semester,BIT-SPE3,Specialization 3
Fourth Year,Second Semester,SVA,Application and Interview
