year level,semester,subject id,subject description
1st Year,1st Semester,MATH111g,Mathematics for Engineers
1st Year,1st Semester,MATH112g,Calculus 1 - Differential Calculus
1st Year,1st Semester,CHEM113g,Chemistry for Engineers
1st Year,1st Semester,DRAW114g,Engineering Drawing and Plans
1st Year,1st Semester,MMWg,Mathematics in the Modern World
1st Year,1st Semester,NSTP1K,National Service Training Program 1
1st Year,1st Semester,STS,Science Technology & Society w/ HIV Educ
1st Year,1st Semester,UTS,Understanding the Self
1st Year,1st Semester,PATHFIt1,Movement Competency Training
1st Year,1st Semester,SOCARTS1,The University and 21st Century Learning
1st Year,2nd Semester,MATH121ga,Calculus 2-Integral Calculus
1st Year,2nd Semester,MATH122g,Engineering Data Analysis
1st Year,2nd Semester,CE124ga,Computer Aided Drafting
1st Year,2nd Semester,CE125g,Civil Engineering Orientation
1st Year,2nd Semester,PHYS123ga,Physics for Engineers 1
1st Year,2nd Semester,NSTP2K,National Service Training Program 2
1st Year,2nd Semester,GEC1g,Gender and Society
1st Year,2nd Semester,PC,Purposive Communication
1st Year,2nd Semester,PATHFit2,Exercisebased -Fitness Activities
1st Year,2nd Semester,SOCARTS2,Special Topics
2nd Year,1st Semester,MATH211g,Differential Equations
2nd Year,1st Semester,CE212ga,Statics of Rigid Bodies
2nd Year,1st Semester,CE213g,Computer Fundamentals and Programming
2nd Year,1st Semester,CE214ga,Surveying
2nd Year,1st Semester,PHYS215g,Physics for Engineers 2
2nd Year,1st Semester,ETH,Ethics
2nd Year,1st Semester,GEC2g,Great Books
2nd Year,1st Semester,TCW,The Contemporary World
2nd Year,1st Semester,PATHFIt3,Outdoor & Simul'n Sports (w/ Life Saving Exer)
2nd Year,2nd Semester,MATH221g,Advanced Engineering Mathematics
2nd Year,2nd Semester,CE222g,Engineering Economics
2nd Year,22nd Semester,CE223g,Dynamics of Rigid Bodies
2nd Year,2nd Semester,CE224g,Mechanics of Deformable Bodies
2nd Year,2nd Semester,CE225g,Geology for Civil Engineers
2nd Year,2nd Semester,CE226g,Highway and Railroad Engineering
2nd Year,2nd Semester,CE227g,Construction Occupational Safety & Health
2nd Year,2nd Semester,GEC3g,The Entreprenuerial Mind
2nd Year,2nd Semester,RPH,Readings in Philippine History
2nd Year,2nd Semester,PATHFit4,Dance
3rd Year,Summer,AA,Art Appreciation
3rd Year,Summer,CE301g,Engineering Management
3rd Year,Summer,RLW,Rizal's Life and Works
3rd Year,1st Semester,CE311g,Technopreneurship
3rd Year,1st Semester,CE312g,Numerical Solutions for CE Problems
3rd Year,1st Semester,CE313g,Engineering Utilities 1
3rd Year,1st Semester,CE314ga,Transportation Engineering
3rd Year,1st Semester,CE315ga,Building Design
3rd Year,1st Semester,CE316g,Construction Materials and Testing
3rd Year,1st Semester,CE317g,Hydrology
3rd Year,1st Semester,CE318ga,Structural Theory
3rd Year,2nd Semester,CE321g,CE Laws Ethics and Contracts
3rd Year,2nd Semester,CE322g,Geotechnical Engineering-Soil Mechanics
3rd Year,2nd Semester,CE323g,Hydraulics
3rd Year,2nd Semester,CE324ga,Quantity Surveying
3rd Year,2nd Semester,CE325g,Reinforced and Prestressed Concrete
3rd Year,2nd Semester,CE326g,Steel Design
3rd Year,2nd Semester,CE327ga,Engineering Utilities 2
3rd Year,2nd Semester,CE328g,Methods of Research
4th Year,Summer,CE400g,On-the-job Training
4th Year,Summer,CE4018,CE Project 1
4th Year,1st Semester,CE411ga,CE Project 2
4th Year,1st Semester,CE412g,Construction Engineering and Management
4th Year,1st Semester,CE413g,Professional Course-Specialized 1
4th Year,1st Semester,CE414g,Professional Course-Specialized 2
4th Year,1st Semester,CE415g,Professional Course-Specialized 3
4th Year,1st Semester,CE416g,Professional Course-Specialized 4
4th Year,1st Semester,CE417g,Professional Course-Specialized S
4th Year,1st Semester,EPEP,Prof. Employment Program for Engineers
4th Year,2nd Semester,CE422g,Correlation 1
4th Year,2nd Semester,CE423g,Correlation 2
4th Year,2nd Semester,CE424g,Correlation 3
